interaction_id,user_id,content_id,interaction_type,interaction_date
I000041,U15250,A08707,comment,2024-06-16 00:00:00
I000042,U25495,A15499,comment,2024-08-18 00:00:00
I000043,U07484,A07314,comment,2024-07-30 00:00:00
I000044,U02795,A18370,like,2024-05-12 00:00:00
I000045,U21623,N08157,save_favorite,2024-08-15 00:00:00
I000046,U17329,A17566,comment,2024-07-12 00:00:00
I000047,U36699,N08071,like,2024-02-20 00:00:00
I000048,U10675,A20416,share,2024-08-18 00:00:00
I000049,U26031,N14573,like,2024-05-06 00:00:00
I000050,U21398,N02111,share,2024-07-28 00:00:00
I000051,U02577,A14841,like,2024-03-29 00:00:00
I000052,U20234,A11971,like,2024-07-06 00:00:00
I000053,U21923,A04933,like,2024-03-05 00:00:00
I000054,U38908,A09213,comment,2024-08-16 00:00:00
I000055,U26386,N07580,share,2024-07-17 00:00:00
I000056,U03344,A22310,like,2024-06-25 00:00:00
I000057,U29813,A22084,comment,2024-04-07 00:00:00
I000058,U23021,A03665,share,2024-07-25 00:00:00
I000059,U15843,A23513,like,2024-06-02 00:00:00
I000060,U26412,A05480,comment,2024-08-20 00:00:00
I000061,U05307,N11427,like,2024-08-19 00:00:00
I000062,U03572,A03624,like,2024-08-11 00:00:00
I000063,U05530,A17063,like,2024-02-19 00:00:00
I000064,U38094,A05225,like,2024-07-08 00:00:00
I000065,U18579,N03854,like,2024-04-16 00:00:00
I000066,U06417,A08581,like,2024-08-05 00:00:00
I000067,U21028,A17846,comment,2024-08-15 00:00:00
I000068,U19005,N09885,like,2024-08-02 00:00:00
I000069,U32506,N06498,like,2024-05-13 00:00:00
I000070,U03709,A04443,comment,2024-06-12 00:00:00
I000071,U05202,A05043,like,2024-06-26 00:00:00
I000072,U20002,A15129,share,2024-06-01 00:00:00
I000073,U23843,A17029,like,2024-08-19 00:00:00
I000074,U17899,A02447,like,2024-05-24 00:00:00
I000075,U31369,N04068,like,2024-07-23 00:00:00
I000076,U05406,A10033,like,2024-08-17 00:00:00
I000077,U22235,N10190,like,2024-03-25 00:00:00
I000078,U10243,N07930,like,2024-08-20 00:00:00
I000079,U20480,A21494,like,2024-08-13 00:00:00
I000080,U36854,A11040,like,2024-08-06 00:00:00
I000081,U17846,N12708,save_favorite,2024-06-30 00:00:00
I000082,U19261,N05511,like,2024-08-18 00:00:00
I000083,U21298,A23063,comment,2024-08-06 00:00:00
I000084,U24124,A15760,share,2024-08-18 00:00:00
I000085,U38406,N01686,like,2024-08-20 00:00:00
I000086,U04069,A03311,like,2024-07-25 00:00:00
I000087,U16381,A01960,comment,2024-04-08 00:00:00
I000088,U29096,A09970,like,2024-03-11 00:00:00
I000089,U39633,A10755,like,2024-08-18 00:00:00
I000090,U09252,A09828,comment,2024-07-28 00:00:00
I000091,U37990,A11368,comment,2024-04-29 00:00:00
I000092,U26001,A17121,like,2024-08-08 00:00:00
I000093,U39392,A06202,comment,2024-08-02 00:00:00
I000094,U22675,A20770,share,2024-05-27 00:00:00
I000095,U23818,A03836,like,2024-07-03 00:00:00
I000096,U18675,A11449,like,2024-07-28 00:00:00
I000097,U34291,A12897,comment,2024-08-16 00:00:00
I000098,U38354,N10858,share,2024-07-30 00:00:00
I000099,U31631,N04215,like,2024-08-14 00:00:00
I000100,U29019,A10958,comment,2024-08-08 00:00:00
I000101,U08823,A14944,like,2024-04-01 00:00:00
I000102,U10198,A15871,comment,2024-05-18 00:00:00
I000103,U07288,A24169,like,2024-07-13 00:00:00
I000104,U08117,N04315,save_favorite,2024-08-10 00:00:00
I000105,U02617,A10907,like,2024-04-14 00:00:00
I000106,U24264,N03631,like,2024-08-11 00:00:00
I000107,U04717,N02612,like,2024-07-13 00:00:00
I000108,U23577,N13635,like,2024-03-18 00:00:00
I000109,U28694,N13514,save_favorite,2024-05-14 00:00:00
I000110,U35634,N00441,like,2024-05-21 00:00:00
I000111,U27329,A22983,like,2024-07-12 00:00:00
I000112,U28502,A03949,comment,2024-07-07 00:00:00
I000113,U13960,N05515,like,2024-07-19 00:00:00
I000114,U17953,N02618,share,2024-07-22 00:00:00
I000115,U20086,A14765,like,2024-07-08 00:00:00
I000116,U39353,A01213,like,2024-07-07 00:00:00
I000117,U23964,A17819,like,2024-07-13 00:00:00
I000118,U12327,A20003,comment,2024-04-19 00:00:00
I000119,U23318,A10989,like,2024-06-28 00:00:00
I000120,U05310,A15940,comment,2024-08-07 00:00:00
I000121,U31385,N03414,share,2024-07-12 00:00:00
I000122,U02557,N09680,save_favorite,2024-05-25 00:00:00
I000123,U31084,A19474,comment,2024-07-21 00:00:00
I000124,U29733,A24271,like,2024-06-21 00:00:00
I000125,U39094,A11633,comment,2024-05-29 00:00:00
I000126,U37905,N13728,like,2024-05-23 00:00:00
I000127,U25658,A06578,comment,2024-04-15 00:00:00
I000128,U11324,A15826,like,2024-03-28 00:00:00
I000129,U36647,A06864,like,2024-02-12 00:00:00
I000130,U08166,A24577,comment,2024-05-29 00:00:00
I000131,U08178,A10247,comment,2024-04-02 00:00:00
I000132,U36709,A14316,comment,2024-07-13 00:00:00
I000133,U10678,N07772,share,2024-07-04 00:00:00
I000134,U21583,A23567,share,2024-06-21 00:00:00
I000135,U33418,A17101,like,2024-08-17 00:00:00
I000136,U13164,A15052,like,2024-05-30 00:00:00
I000137,U14471,A10897,comment,2024-04-14 00:00:00
I000138,U31505,N09330,like,2024-08-07 00:00:00
I000139,U25242,A14199,comment,2024-07-07 00:00:00
I000140,U27935,A18079,like,2024-04-07 00:00:00
I000141,U38512,A22662,like,2024-08-12 00:00:00
I000142,U20441,A09136,comment,2024-08-16 00:00:00
I000143,U23625,A06428,like,2024-05-25 00:00:00
I000144,U33537,A04081,like,2024-03-23 00:00:00
I000145,U04158,N07955,like,2024-06-18 00:00:00
I000146,U15323,A12493,like,2024-05-05 00:00:00
I000147,U17901,A02630,comment,2024-06-17 00:00:00
I000148,U27074,A06359,comment,2024-07-24 00:00:00
I000149,U33517,A11253,like,2024-06-17 00:00:00
I000150,U26277,N06346,like,2024-07-21 00:00:00
I000151,U15542,A09307,like,2024-07-24 00:00:00
I000152,U04189,A20424,like,2024-06-11 00:00:00
I000153,U26995,A24740,comment,2024-04-08 00:00:00
I000154,U20430,N01577,save_favorite,2024-02-12 00:00:00
I000155,U29118,N01797,like,2024-07-29 00:00:00
I000156,U37815,N11849,like,2024-07-28 00:00:00
I000157,U08083,N07780,share,2024-08-11 00:00:00
I000158,U09662,N13262,save_favorite,2024-07-15 00:00:00
I000159,U16210,N12691,like,2024-04-08 00:00:00
I000160,U15530,N10671,like,2024-02-10 00:00:00
I000161,U22594,N07295,like,2024-08-20 00:00:00
I000162,U32057,N01994,share,2024-07-31 00:00:00
I000163,U04355,A04159,like,2024-07-19 00:00:00
I000164,U26793,N02700,like,2024-06-19 00:00:00
I000165,U37193,A19335,like,2024-08-11 00:00:00
I000166,U19320,N07211,like,2024-06-18 00:00:00
I000167,U37601,A07389,like,2024-02-15 00:00:00
I000168,U27402,A18710,like,2024-06-07 00:00:00
I000169,U03979,A01190,like,2024-02-10 00:00:00
I000170,U31773,N08853,save_favorite,2024-07-08 00:00:00
I000171,U03778,A02116,like,2024-02-07 00:00:00
I000172,U31066,A18503,like,2024-05-31 00:00:00
I000173,U37039,A01778,like,2024-05-22 00:00:00
I000174,U25384,A20194,like,2024-05-29 00:00:00
I000175,U23060,A12397,comment,2024-06-07 00:00:00
I000176,U13477,N10952,like,2024-07-29 00:00:00
I000177,U17546,A20549,share,2024-04-17 00:00:00
I000178,U20501,N14550,share,2024-05-23 00:00:00
I000179,U02694,A21107,like,2024-06-25 00:00:00
I000180,U35560,A14530,comment,2024-08-18 00:00:00
I000181,U07315,A07816,like,2024-06-23 00:00:00
I000182,U17502,N09015,like,2024-08-18 00:00:00
I000183,U18860,N09785,share,2024-04-14 00:00:00
I000184,U39255,N14827,like,2024-06-24 00:00:00
I000185,U14368,N14854,like,2024-08-05 00:00:00
I000186,U25719,N05588,save_favorite,2024-01-21 00:00:00
I000187,U39776,N12009,share,2024-06-10 00:00:00
I000188,U30923,A19043,like,2024-07-15 00:00:00
I000189,U03532,A18072,comment,2024-05-25 00:00:00
I000190,U38435,A22454,comment,2024-05-29 00:00:00
I000191,U14142,A23468,comment,2024-08-07 00:00:00
I000192,U22164,A04602,comment,2024-08-06 00:00:00
I000193,U13479,N09476,save_favorite,2024-03-03 00:00:00
I000194,U07574,N08811,like,2024-06-09 00:00:00
I000195,U29482,A10731,share,2024-07-15 00:00:00
I000196,U38942,N06659,like,2024-08-07 00:00:00
I000197,U35329,N02545,save_favorite,2024-08-11 00:00:00
I000198,U11912,A12050,share,2024-06-14 00:00:00
I000199,U36062,A00966,share,2024-06-20 00:00:00
I000200,U33965,A20068,comment,2024-08-15 00:00:00
I000201,U31283,N03895,like,2024-07-04 00:00:00
I000202,U31547,A20064,comment,2024-08-19 00:00:00
I000203,U07551,A02401,comment,2024-05-03 00:00:00
I000204,U19781,A23320,comment,2024-08-11 00:00:00
I000205,U37785,A06397,like,2024-07-05 00:00:00
I000206,U19493,A12595,like,2024-05-25 00:00:00
I000207,U28665,A18371,like,2024-07-10 00:00:00
I000208,U21073,N11733,save_favorite,2024-07-24 00:00:00
I000209,U04307,A00759,comment,2024-08-15 00:00:00
I000210,U24746,A19839,like,2024-07-29 00:00:00
I000211,U14107,A22174,share,2024-08-12 00:00:00
I000212,U16675,A04576,like,2024-08-12 00:00:00
I000213,U15114,A19961,comment,2024-07-19 00:00:00
I000214,U19969,A14607,like,2024-07-12 00:00:00
I000215,U32561,A07933,comment,2024-08-17 00:00:00
I000216,U15329,N07745,like,2024-05-14 00:00:00
I000217,U03487,A03403,like,2024-06-02 00:00:00
I000218,U35795,A05630,share,2024-08-02 00:00:00
I000219,U10970,A14655,like,2024-07-23 00:00:00
I000220,U17013,N05491,share,2024-06-10 00:00:00
I000221,U07613,N04530,like,2024-07-03 00:00:00
I000222,U29885,A22992,like,2024-07-20 00:00:00
I000223,U14855,A00790,share,2024-08-13 00:00:00
I000224,U10781,A15094,comment,2024-08-19 00:00:00
I000225,U24469,A19573,comment,2024-08-08 00:00:00
I000226,U06627,N03227,save_favorite,2024-07-30 00:00:00
I000227,U13857,A03188,like,2024-05-15 00:00:00
I000228,U28137,A19445,like,2024-07-16 00:00:00
I000229,U24582,A12112,like,2024-07-15 00:00:00
I000230,U09496,A12138,like,2024-08-03 00:00:00
I000231,U22459,A10937,comment,2024-06-04 00:00:00
I000232,U33074,A19163,like,2024-07-10 00:00:00
I000233,U25502,A16259,share,2024-03-03 00:00:00
I000234,U07065,N14649,like,2024-06-19 00:00:00
I000235,U33307,A18684,like,2024-07-05 00:00:00
I000236,U23461,A05141,like,2024-08-06 00:00:00
I000237,U10716,A19699,share,2024-03-23 00:00:00
I000238,U23518,A00224,like,2024-05-24 00:00:00
I000239,U18432,A13789,comment,2024-06-27 00:00:00
I000240,U04098,N00291,share,2024-08-19 00:00:00
I000241,U22722,A23595,like,2024-06-30 00:00:00
I000242,U20371,A19632,like,2024-07-07 00:00:00
I000243,U06645,A15899,like,2024-07-25 00:00:00
I000244,U17914,A00732,comment,2024-07-29 00:00:00
I000245,U03211,N14183,like,2024-07-10 00:00:00
I000246,U08100,N05630,like,2024-07-31 00:00:00
I000247,U20708,N05729,like,2024-08-06 00:00:00
I000248,U25688,A03971,like,2024-07-09 00:00:00
I000249,U29694,N01084,share,2024-03-28 00:00:00
I000250,U33108,A03660,like,2024-08-11 00:00:00
I000251,U05325,A15845,comment,2024-08-07 00:00:00
I000252,U07104,A08824,like,2024-05-16 00:00:00
I000253,U36198,N00301,like,2024-06-01 00:00:00
I000254,U09688,A06994,comment,2024-05-11 00:00:00
I000255,U35166,A18672,like,2024-08-01 00:00:00
I000256,U34484,A10819,comment,2024-07-15 00:00:00
I000257,U16950,N12318,save_favorite,2024-08-13 00:00:00
I000258,U07204,A12403,comment,2024-06-29 00:00:00
I000259,U20569,N11541,like,2024-07-16 00:00:00
I000260,U21076,A07155,like,2024-08-01 00:00:00
I000261,U33580,N06271,like,2024-08-03 00:00:00
I000262,U19248,N08958,like,2024-03-24 00:00:00
I000263,U27405,A13048,comment,2024-08-11 00:00:00
I000264,U24837,N07394,like,2024-04-19 00:00:00
I000265,U10224,A19504,share,2024-06-30 00:00:00
I000266,U34041,N05139,save_favorite,2024-08-19 00:00:00
I000267,U17350,A02896,like,2024-07-14 00:00:00
I000268,U21398,A00328,like,2024-08-01 00:00:00
I000269,U04803,A00489,comment,2024-06-10 00:00:00
I000270,U34495,A22629,comment,2024-07-25 00:00:00
I000271,U16850,N11609,save_favorite,2024-08-17 00:00:00
I000272,U37758,A08555,like,2024-07-30 00:00:00
I000273,U03353,A02954,like,2024-08-08 00:00:00
I000274,U03209,A18559,like,2024-05-13 00:00:00
I000275,U34511,A22790,comment,2024-07-26 00:00:00
I000276,U14388,N10180,save_favorite,2024-08-20 00:00:00
I000277,U04787,A20615,comment,2024-02-10 00:00:00
I000278,U10227,A01052,like,2024-08-20 00:00:00
I000279,U34074,A15011,like,2024-07-08 00:00:00
I000280,U36890,N02090,like,2024-08-10 00:00:00
I000281,U38625,A02309,like,2024-08-15 00:00:00
I000282,U12292,A12250,comment,2024-05-27 00:00:00
I000283,U20299,A03613,share,2024-05-31 00:00:00
I000284,U05082,A09801,like,2024-08-12 00:00:00
I000285,U32773,A05861,comment,2024-07-09 00:00:00
I000286,U28699,A23119,comment,2024-06-02 00:00:00
I000287,U32289,N02877,share,2024-03-18 00:00:00
I000288,U17865,A16080,like,2024-04-06 00:00:00
I000289,U14811,A15221,share,2024-02-12 00:00:00
I000290,U04876,A00643,like,2024-05-11 00:00:00
I000291,U23287,A16610,like,2024-08-13 00:00:00
I000292,U38417,N11080,like,2024-07-30 00:00:00
I000293,U06650,N02820,share,2024-06-18 00:00:00
I000294,U19825,N14661,like,2024-04-20 00:00:00
I000295,U30414,A18601,like,2024-08-07 00:00:00
I000296,U13230,A13840,like,2024-07-16 00:00:00
I000297,U10152,N00179,like,2024-08-14 00:00:00
I000298,U13937,A20384,comment,2024-07-05 00:00:00
I000299,U11555,N11999,share,2024-04-10 00:00:00
I000300,U30468,A10232,like,2024-05-13 00:00:00
I000301,U03458,A21478,like,2024-05-02 00:00:00
I000302,U15997,N10403,like,2024-06-07 00:00:00
I000303,U10608,A16042,like,2024-08-12 00:00:00
I000304,U34042,A05611,comment,2024-08-11 00:00:00
I000305,U35723,N14970,save_favorite,2024-04-15 00:00:00
I000306,U35398,A00110,comment,2024-07-12 00:00:00
I000307,U32243,A15857,like,2024-03-29 00:00:00
I000308,U28382,A03886,comment,2024-08-01 00:00:00
I000309,U05376,A07588,comment,2024-06-03 00:00:00
I000310,U21088,A20166,like,2024-07-31 00:00:00
I000311,U17668,A12555,comment,2024-03-16 00:00:00
I000312,U22548,N05435,like,2024-04-27 00:00:00
I000313,U35693,N08594,like,2024-07-09 00:00:00
I000314,U13953,A07755,like,2024-08-12 00:00:00
I000315,U37235,A12419,comment,2024-07-10 00:00:00
I000316,U03660,A17460,share,2024-06-07 00:00:00
I000317,U25378,N13076,like,2024-05-22 00:00:00
I000318,U16267,N12102,save_favorite,2024-04-15 00:00:00
I000319,U35778,N12051,like,2024-07-09 00:00:00
I000320,U25272,A14220,comment,2024-08-20 00:00:00
I000321,U04514,A15348,like,2024-03-23 00:00:00
I000322,U07667,A23633,comment,2024-07-24 00:00:00
I000323,U25215,A24364,comment,2024-05-18 00:00:00
I000324,U39843,A21140,comment,2024-08-13 00:00:00
I000325,U19780,N03029,like,2024-06-07 00:00:00
I000326,U06154,N02471,like,2024-07-19 00:00:00
I000327,U31388,N00080,share,2024-08-18 00:00:00
I000328,U15104,A02597,like,2024-07-03 00:00:00
I000329,U17672,A19686,like,2024-08-01 00:00:00
I000330,U23628,A11030,like,2024-07-03 00:00:00
I000331,U34272,A06518,comment,2024-08-14 00:00:00
I000332,U04067,A23900,like,2024-08-02 00:00:00
I000333,U19955,A06327,comment,2024-07-18 00:00:00
I000334,U20717,A13799,like,2024-08-12 00:00:00
I000335,U14206,N03373,save_favorite,2024-08-03 00:00:00
I000336,U28834,A12510,comment,2024-07-24 00:00:00
I000337,U23444,N10563,save_favorite,2024-06-10 00:00:00
I000338,U24778,N12115,like,2024-05-20 00:00:00
I000339,U32927,A06937,comment,2024-08-07 00:00:00
I000340,U12270,A11492,like,2024-04-04 00:00:00
I000341,U26214,N10533,like,2024-08-15 00:00:00
I000342,U15563,A17548,like,2024-08-13 00:00:00
I000343,U20533,A18820,like,2024-03-07 00:00:00
I000344,U15746,A03676,comment,2024-08-09 00:00:00
I000345,U26658,N05899,like,2024-08-04 00:00:00
I000346,U35934,A18926,like,2024-08-05 00:00:00
I000347,U19954,N01375,like,2024-04-30 00:00:00
I000348,U33742,N05340,save_favorite,2024-05-15 00:00:00
I000349,U04839,N10312,like,2024-08-17 00:00:00
I000350,U03287,A12101,comment,2024-06-15 00:00:00
I000351,U20827,A24356,like,2024-07-10 00:00:00
I000352,U35053,A20440,comment,2024-04-21 00:00:00
I000353,U23013,A06289,comment,2024-07-13 00:00:00
I000354,U21689,N04868,save_favorite,2024-08-12 00:00:00
I000355,U24434,A11937,comment,2024-07-03 00:00:00
I000356,U36541,A12063,like,2024-07-22 00:00:00
I000357,U12303,A13837,share,2024-04-12 00:00:00
I000358,U37684,N00236,share,2024-07-22 00:00:00
I000359,U06453,N02283,like,2024-05-01 00:00:00
I000360,U28536,A07299,like,2024-07-28 00:00:00
I000361,U26250,N08907,like,2024-08-19 00:00:00
I000362,U31942,A10074,like,2024-07-28 00:00:00
I000363,U37253,N03579,save_favorite,2024-05-24 00:00:00
I000364,U11395,A15371,like,2024-06-13 00:00:00
I000365,U29066,A09691,like,2024-08-16 00:00:00
I000366,U09404,N05525,share,2024-06-15 00:00:00
I000367,U31194,N00082,save_favorite,2024-03-11 00:00:00
I000368,U04580,N04368,like,2024-06-04 00:00:00
I000369,U29750,A15655,share,2024-06-11 00:00:00
I000370,U07793,N09603,like,2024-06-20 00:00:00
I000371,U39887,N04618,save_favorite,2024-07-02 00:00:00
I000372,U39149,A02222,like,2024-05-06 00:00:00
I000373,U05208,N12967,like,2024-07-12 00:00:00
I000374,U10925,A14454,comment,2024-03-18 00:00:00
I000375,U05661,A18210,like,2024-05-10 00:00:00
I000376,U30710,A24109,like,2024-07-26 00:00:00
I000377,U27711,A02802,like,2024-03-03 00:00:00
I000378,U32977,N03171,like,2024-01-24 00:00:00
I000379,U33296,N02328,save_favorite,2024-05-31 00:00:00
I000380,U19714,N03042,share,2024-07-16 00:00:00
I000381,U22414,A10585,comment,2024-07-02 00:00:00
I000382,U18101,N01435,like,2024-06-10 00:00:00
I000383,U28069,A02953,like,2024-04-28 00:00:00
I000384,U32969,N00450,share,2024-05-22 00:00:00
I000385,U09765,A13045,comment,2024-02-04 00:00:00
I000386,U16407,A09278,like,2024-06-20 00:00:00
I000387,U32427,N03182,like,2024-07-21 00:00:00
I000388,U31978,N07620,like,2024-01-25 00:00:00
I000389,U18608,A00366,like,2024-05-25 00:00:00
I000390,U30586,A23326,like,2024-07-30 00:00:00
I000391,U32111,A04415,like,2024-04-27 00:00:00
I000392,U05907,N08151,like,2024-07-16 00:00:00
I000393,U24429,N08041,like,2024-07-11 00:00:00
I000394,U25647,A13115,comment,2024-08-19 00:00:00
I000395,U30203,A00724,like,2024-03-21 00:00:00
I000396,U06463,A13580,like,2024-04-18 00:00:00
I000397,U22798,A19553,like,2024-08-15 00:00:00
I000398,U33491,A08919,like,2024-08-03 00:00:00
I000399,U16740,A00841,like,2024-06-29 00:00:00
I000400,U25825,N03545,share,2024-07-18 00:00:00
I000401,U05614,A12976,comment,2024-08-19 00:00:00
I000402,U02509,A16316,comment,2024-03-15 00:00:00
I000403,U09157,A17587,like,2024-07-28 00:00:00
I000404,U33868,A23376,comment,2024-07-14 00:00:00
I000405,U07080,A03809,comment,2024-08-12 00:00:00
I000406,U24279,A22389,comment,2024-06-04 00:00:00
I000407,U35814,A11615,like,2024-05-20 00:00:00
I000408,U36443,A10828,comment,2024-08-06 00:00:00
I000409,U22470,N03858,save_favorite,2024-06-17 00:00:00
I000410,U02946,N02624,share,2024-07-17 00:00:00
I000411,U32265,A11424,comment,2024-08-17 00:00:00
I000412,U26658,N00812,like,2024-06-20 00:00:00
I000413,U10386,A16178,like,2024-08-07 00:00:00
I000414,U12167,A11489,like,2024-08-04 00:00:00
I000415,U37351,N13410,like,2024-05-31 00:00:00
I000416,U28473,N14488,save_favorite,2024-07-24 00:00:00
I000417,U33015,N01270,like,2024-06-06 00:00:00
I000418,U10977,N05977,like,2024-08-19 00:00:00
I000419,U03059,A10681,like,2024-07-24 00:00:00
I000420,U11918,A01608,comment,2024-05-31 00:00:00
I000421,U08142,A10385,like,2024-08-15 00:00:00
I000422,U27707,A24375,like,2024-05-28 00:00:00
I000423,U12816,N05996,like,2024-05-24 00:00:00
I000424,U25501,A14582,comment,2024-06-20 00:00:00
I000425,U15323,N13762,like,2024-04-01 00:00:00
I000426,U27331,A14145,like,2024-03-14 00:00:00
I000427,U28600,N14135,like,2024-07-05 00:00:00
I000428,U29206,N03803,like,2024-05-06 00:00:00
I000429,U21292,N02120,like,2024-06-06 00:00:00
I000430,U13237,N01688,like,2024-03-23 00:00:00
I000431,U35690,A11502,like,2024-06-21 00:00:00
I000432,U23076,A21190,comment,2024-08-16 00:00:00
I000433,U27394,A19033,like,2024-08-12 00:00:00
I000434,U10900,N04374,like,2024-06-06 00:00:00
I000435,U11244,A12368,like,2024-08-14 00:00:00
I000436,U32595,A15217,comment,2024-08-12 00:00:00
I000437,U20274,A22662,like,2024-08-07 00:00:00
I000438,U35629,A04116,like,2024-06-15 00:00:00
I000439,U04052,N11918,like,2024-04-07 00:00:00
I000440,U39004,A22554,share,2024-08-12 00:00:00
I000441,U33889,N05955,save_favorite,2024-08-07 00:00:00
I000442,U04359,N08640,share,2024-08-17 00:00:00
I000443,U34335,A13137,like,2024-08-05 00:00:00
I000444,U05540,N07135,like,2024-07-03 00:00:00
I000445,U09798,A01453,comment,2024-08-16 00:00:00
I000446,U33768,A01057,comment,2024-05-04 00:00:00
I000447,U26481,A06116,comment,2024-08-12 00:00:00
I000448,U39259,N00481,share,2024-07-14 00:00:00
I000449,U38089,A19482,comment,2024-08-18 00:00:00
I000450,U06839,N00471,like,2024-06-08 00:00:00
I000451,U15892,A01800,like,2024-05-28 00:00:00
I000452,U02840,N06532,like,2024-07-29 00:00:00
I000453,U08201,A14163,comment,2024-05-13 00:00:00
I000454,U10968,A10089,share,2024-08-14 00:00:00
I000455,U22208,A10592,comment,2024-08-20 00:00:00
I000456,U24445,A15050,comment,2024-07-11 00:00:00
I000457,U10915,A24603,like,2024-07-05 00:00:00
I000458,U14318,A19567,like,2024-08-10 00:00:00
I000459,U05801,A15715,share,2024-05-24 00:00:00
I000460,U14461,A14584,like,2024-07-31 00:00:00
I000461,U39780,A05448,like,2024-07-24 00:00:00
I000462,U34620,A17108,like,2024-07-17 00:00:00
I000463,U29855,A04514,like,2024-07-08 00:00:00
I000464,U11318,N08338,save_favorite,2024-08-13 00:00:00
I000465,U20835,N13726,like,2024-01-23 00:00:00
I000466,U37646,A00748,like,2024-08-05 00:00:00
I000467,U30795,N05669,like,2024-08-16 00:00:00
I000468,U32071,A17122,share,2024-05-22 00:00:00
I000469,U14353,A18450,like,2024-08-19 00:00:00
I000470,U04741,N14045,share,2024-07-10 00:00:00
I000471,U27805,A17313,like,2024-08-04 00:00:00
I000472,U22294,A22066,share,2024-04-15 00:00:00
I000473,U08702,A17001,like,2024-08-11 00:00:00
I000474,U13926,A09267,share,2024-07-14 00:00:00
I000475,U31881,A12645,like,2024-05-03 00:00:00
I000476,U07834,A12346,comment,2024-07-14 00:00:00
I000477,U03259,A01489,like,2024-03-31 00:00:00
I000478,U29697,N12302,like,2024-06-28 00:00:00
I000479,U38603,A04648,comment,2024-06-25 00:00:00
I000480,U08100,N01988,like,2024-08-06 00:00:00
I000481,U30326,A11954,like,2024-01-31 00:00:00
I000482,U16167,A14976,comment,2024-08-07 00:00:00
I000483,U22648,N04125,share,2024-07-28 00:00:00
I000484,U03501,N14313,save_favorite,2024-06-30 00:00:00
I000485,U07222,N03739,like,2024-01-17 00:00:00
I000486,U22449,A02355,like,2024-04-23 00:00:00
I000487,U04677,A03753,comment,2024-07-26 00:00:00
I000488,U38941,A12226,like,2024-07-31 00:00:00
I000489,U06016,N10732,share,2024-04-21 00:00:00
I000490,U17422,A11992,like,2024-08-02 00:00:00
I000491,U34820,A21908,comment,2024-08-02 00:00:00
I000492,U25411,A02339,comment,2024-06-15 00:00:00
I000493,U29999,A24410,like,2024-05-27 00:00:00
I000494,U08727,A06991,like,2024-06-24 00:00:00
I000495,U17605,A01319,comment,2024-07-02 00:00:00
I000496,U16898,A07056,comment,2024-04-01 00:00:00
I000497,U33064,A22855,like,2024-08-15 00:00:00
I000498,U30603,A02260,like,2024-07-16 00:00:00
I000499,U34370,A05611,like,2024-08-10 00:00:00
I000500,U18915,A07878,comment,2024-03-06 00:00:00
I000501,U35427,A06054,like,2024-08-20 00:00:00
I000502,U13325,N10980,share,2024-08-16 00:00:00
I000503,U34069,A07392,like,2024-05-29 00:00:00
I000504,U08735,A06749,like,2024-08-19 00:00:00
I000505,U38912,A04474,like,2024-04-04 00:00:00
I000506,U23123,A08152,like,2024-05-19 00:00:00
